지역,일자,지명,주소,좌표
부산,4/24,코로나19수영구보건소선별진료소,부산수영구광안동661-1,"35.1626441095325,129.11343165102565"
부산,4/25,부산의료원,부산연제구거제동1518,"35.18729655432529,129.05922489147238"
인천,4/29,코로나19미추홀구보건소선별진료소,인천미추홀구도화동357-1,"37.46109730656191,126.67744386263398"
서울,5/1,서울특별시서울의료원,서울중랑구신내동316,"37.6128675208202,127.09809248467599"
서울,5/1,서울특별시서남병원,서울양천구신정동1320-7,"37.51207345721133,126.83315695581216"
경기,4/30,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
경기,5/1,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
인천,5/2,코로나19부평구보건소선별진료소,인천부평구부평동442-1,"37.49883370697678,126.724246834459"
서울,5/1,코로나19강동구보건소선별진료소,서울강동구성내동541-2,"37.529268770502796,127.125614688949"
서울,5/2,서울특별시보라매병원,서울동작구신대방동425,"Seou,37.49379005514929"
서울,5/1,코로나19용산구보건소선별진료소,서울용산구이태원동34-87,"37.5325896182205,126.99061852981102"
대구,5/2,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
인천,5/4,인하대병원,인천중구신흥동3가7-206,"37.4588334876626,126.63427046665801"
울산,5/3,울산대학교병원,울산동구전하동290-3,"35.520101913837344,129.42873869172817"
경기,5/2,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
경기,5/3,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
전남,5/3,전라남도순천의료원,전남순천시매곡동130-3,"34.957989617302495,127.483034046369"
인천,5/4,인하대병원,인천중구신흥동3가7-206,"37.4588334876626,126.63427046665801"
인천,5/3,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
대전,5/5,코로나19유성구보건소선별진료소,대전유성구장대동282-15,"36.35812073802611,127.335412978577"
대전,5/6,충남대학교병원,대전중구대사동640,"36.31684710718836,127.41537216942362"
대전,5/5,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
대전,5/5,광명역,경기광명시일직동276-8,"37.416451341811104,126.88480397548899"
대전,5/5,대전역,대전동구정동1-1,"36.33229969089899,127.43411216191"
대전,5/6,충남대학교병원,대전중구대사동640,"36.31684710718836,127.41537216942362"
경기,5/1,황재코다리냉면,경기용인시수지구죽전동1253-2,"37.329218657953845,127.11697297262374"
경기,5/1,레스프리드분당,경기용인시기흥구보정동1261-1,"37.3197618498506,127.10897411819299"
경기,5/2,노브랜드용인청덕점,경기용인시기흥구청덕동556,"37.29117513018495,127.14764331588404"
경기,5/5,코로나19기흥구보건소선별진료소,경기용인시기흥구신갈동60-3,"37.272608430459805,127.10639859028402"
경기,5/6,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
부산,4/18,1970새마을포차부산서면점,부산부산진구부전동215-3,"35.1541384955474,129.0606468637084"
부산,4/17,1970새마을포차부산서면점,부산부산진구부전동215-3,"35.1541384955474,129.0606468637084"
부산,4/18,바이브,부산부산진구부전동217-1,"35.1542033728041,129.0612827129844"
부산,4/18,청춘횟집,부산서구암남동124-30,"35.0761914405818,129.0229589133772"
부산,4/18,부산역,부산동구초량동1187-1,"35.1151082632134,129.0414202566283"
부산,4/18,동대구역,대구동구신암동294,"35.879323993179504,128.62839377538825"
대구,4/25,화원유원지,대구달성군화원읍성산리310,"35.813058744556095,128.48235861909816"
대구,4/27,굿모닝병원,대구남구대명3동2304-2,"35.85300650456301,128.5740862562992"
대구,4/27,엄마손식당,대구달서구두류동778-15,"35.85372297871331,128.5736000932252"
대구,5/1,코로나19달서구보건소선별진료소,대구달서구월성동281,"35.82947841326611,128.5323235327342"
대구,5/1,진달래공원,대구달서구진천동,"35.81067601541759,128.53180726646116"
대구,5/2,화원유원지,대구달성군화원읍성산리310,"35.813058744556095,128.48235861909816"
대구,5/2,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
전북,5/6,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
경기,5/4,범계역4호선,경기안양시동안구호계동1039-2,"37.3897837540429,126.950783269518"
경기,5/4,인덕원역4호선,경기안양시동안구관양동1563,"37.40149417095971,126.97667985518699"
경기,5/5,인덕원역4호선,경기안양시동안구관양동1563,"37.40149417095971,126.97667985518699"
경기,5/6,코로나19동안구보건소선별진료소,경기안양시동안구비산동1111,"37.3930351643306,126.95205046262001"
경기,4/24,인천국제공항제1여객터미널,인천중구운서동2851,"37.449982998931006,126.452610735176"
경기,5/2,킹클럽,서울용산구이태원동136-46,"37.53365309693639,126.995786650856"
경기,4/30,소노벨비발디파크,강원홍천군서면팔봉리1289,"37.64520568960507,127.6822044700992"
경기,4/30,이디야커피송파파인타운점,서울송파구장지동841-4,"37.477307631284404,127.127463172139"
경기,5/1,술판,서울용산구이태원동136-46,"37.53373960088581,126.99601292708601"
경기,5/2,킹클럽,서울용산구이태원동136-46,"37.53365309693639,126.995786650856"
경기,5/2,퀸,서울용산구이태원동136-42,"37.53364950155051,126.99603555996501"
대구,5/6,인천국제공항,인천중구운서동2851,"37.44945028134419,126.45042670237001"
대구,5/6,광명역,경기광명시일직동276-8,"37.416451341811104,126.88480397548899"
대구,5/8,계명대학교대구동산병원,대구중구동산동194,"35.86974791242753,128.58293905690988"
대구,5/6,동대구역,대구동구신암동294,"35.879323993179504,128.62839377538825"
서울,5/6,홍대입구역2호선,서울마포구동교동192-5,"37.556870744887306,126.923778562273"
서울,5/6,프로보컬인스티튜트,서울마포구연남동226-29,"37.562703934107084,126.926842178375"
서울,5/6,역전포장마차,서울마포구동교동155-27,"37.5584249461909,126.92515774875301"
서울,5/7,역전포장마차,서울마포구동교동155-27,"37.5584249461909,126.92515774875301"
수원,5/3,조은이비인후과의원,경기수원시장안구연무동245-33,"37.29268388161831,127.03178550906401"
수원,5/2,세븐일레븐분당한솔마을점,경기성남시분당구정자동117-2,"37.3648478287986,127.115360924892"
수원,5/2,막내쌈밥정자점,경기성남시분당구정자동45-1,"37.373019591987,127.11405929727799"
수원,5/5,코로나19기흥구보건소선별진료소,경기용인시기흥구신갈동60-3,"37.272608430459805,127.10639859028402"
수원,5/2,노브랜드용인청덕점,경기용인시기흥구청덕동556,"37.29117513018495,127.14764331588404"
수원,5/1,평창한우마을홍천대명점,강원홍천군서면팔봉리748,"37.6726876943564,127.6967165575931"
수원,4/30,비발디파크오션월드바베큐셀프가든,강원홍천군서면팔봉리1289,"37.64520568894989,127.68220458340102"
수원,5/1,이정웅스페이스,경기가평군청평면삼회리271-5,"37.6892119069788,127.38752405330199"
